Gene	Mutations	MutationFreq%	Lenght	Corrected
LINGO2	5	1.4534883720930232	1275984	1.1391117538253013e-06
PLEC	5	1.4534883720930232	61581	2.360287056223548e-05
TRPM6	5	1.4534883720930232	165599	8.777156698367885e-06
EPB41L3	5	1.4534883720930232	238319	6.0989193983401375e-06
ROBO2	5	1.4534883720930232	1743269	8.337717082636262e-07
KDM6A	5	1.4534883720930232	239591	6.066539945544797e-06
FAM47A	5	1.4534883720930232	2562	0.0005673256721674
HFM1	5	1.4534883720930232	144090	1.0087364647741156e-05
UNC79	5	1.4534883720930232	374657	3.879517457549233e-06
NRXN3	5	1.4534883720930232	1697918	8.560415591877954e-07
TNS1	5	1.4534883720930232	234394	6.201047689330884e-06
MED12	5	1.4534883720930232	25560	5.686574225716054e-05
TRIO	5	1.4534883720930232	388786	3.738530636630494e-06
MECOM	5	1.4534883720930232	580276	2.5048224846332147e-06
KCNT2	5	1.4534883720930232	383446	3.790594691542025e-06
ADGRB3	5	1.4534883720930232	755289	1.924413531897093e-06
SLC6A5	5	1.4534883720930232	59691	2.4350209781927312e-05
TNXB	4	1.162790697674419	74181	1.5675047487556362e-05
FAM214A	4	1.162790697674419	128500	9.04895484571532e-06
COL7A1	4	1.162790697674419	31256	3.7202159510955294e-05
FILIP1L	4	1.162790697674419	285702	4.069942449385789e-06
DCHS2	4	1.162790697674419	260057	4.471291669420238e-06
SIM1	4	1.162790697674419	79912	1.4550889699599792e-05
BCORL1	4	1.162790697674419	76964	1.5108241485297264e-05
VPS13D	4	1.162790697674419	282017	4.123122711306122e-06
TACC2	4	1.162790697674419	265382	4.3815733458728114e-06
DNAH3	4	1.162790697674419	226330	5.137589792225594e-06
TENM2	4	1.162790697674419	1285128	9.048053561002628e-07
LRRC15	4	1.162790697674419	14494	8.022565873288386e-05
ETV3	4	1.162790697674419	17283	6.727944787793894e-05
DNAH9	4	1.162790697674419	371278	3.131859947733016e-06
ITGA9	4	1.162790697674419	371392	3.1308986129868675e-06
HECTD4	4	1.162790697674419	222251	5.23188061099576e-06
SCN10A	4	1.162790697674419	119484	9.731769087697254e-06
TG	4	1.162790697674419	267945	4.3396618622270185e-06
IDH1	4	1.162790697674419	29845	3.8960988362352776e-05
PCDH11Y	4	1.162790697674419	741998	1.5671075901477073e-06
MRVI1	4	1.162790697674419	120897	9.618027723387832e-06
NRG1	4	1.162790697674419	1216444	9.55893323222786e-07
IL1RAPL2	4	1.162790697674419	1201630	9.676778190245072e-07
PTPRC	4	1.162790697674419	119019	9.769790518105668e-06
XIRP1	4	1.162790697674419	9386	0.0001238856485909
HUWE1	4	1.162790697674419	154656	7.518561825434633e-06
OTOA	4	1.162790697674419	97967	1.1869207974873362e-05
CADM1	4	1.162790697674419	335739	3.4633769019220844e-06
GAS2L2	4	1.162790697674419	8728	0.0001332253319975
OTOF	4	1.162790697674419	101553	1.1450087123712925e-05
L1CAM	4	1.162790697674419	24659	4.7154819646961295e-05
MYH15	4	1.162790697674419	148954	7.806374435560097e-06
SI	4	1.162790697674419	99598	1.1674839832872332e-05
ALMS1	4	1.162790697674419	239408	4.856941696494764e-06
RNF213	4	1.162790697674419	137942	8.429562407928105e-06
ASIC4	4	1.162790697674419	24602	4.726407193213636e-05
IFT122	4	1.162790697674419	90903	1.279155470858408e-05
VPS13B	4	1.162790697674419	864314	1.3453336376298645e-06
EHHADH	4	1.162790697674419	91366	1.2726733113788702e-05
ADGRB1	4	1.162790697674419	95579	1.2165755005539068e-05
FLG	4	1.162790697674419	23074	5.039398013670879e-05
SCN5A	4	1.162790697674419	101630	1.144141196176738e-05
FAT2	4	1.162790697674419	87239	1.3328794434535226e-05
KIF1A	4	1.162790697674419	110532	1.051994623886674e-05
ATP10B	4	1.162790697674419	289094	4.022188968551469e-06
DNAH17	4	1.162790697674419	153699	7.56537581685254e-06
LRRC66	4	1.162790697674419	26711	4.353227874936987e-05
KCNB2	4	1.162790697674419	401124	2.898831028994572e-06
CNR1	4	1.162790697674419	26483	4.390706104574325e-05
MYH4	4	1.162790697674419	26269	4.4264749235769104e-05
MYO18B	4	1.162790697674419	288901	4.02487598753351e-06
SIGLEC1	4	1.162790697674419	25630	4.5368345597909424e-05
WDFY3	4	1.162790697674419	297925	3.902964496683456e-06
SPHK2	4	1.162790697674419	11426	0.0001017670836403
TP53BP1	4	1.162790697674419	107667	1.0799880164529696e-05
ZNF462	4	1.162790697674419	150468	7.72782716374524e-06
ANKRD30A	4	1.162790697674419	106969	1.0870352136361177e-05
PROS1	4	1.162790697674419	106952	1.087207997675984e-05
PCDHA12	4	1.162790697674419	137045	8.484736383482932e-06
HRAS	4	1.162790697674419	5079	0.0002289408737299
CFH	4	1.162790697674419	100722	1.1544555287567946e-05
AKAP9	4	1.162790697674419	169833	6.846671127957573e-06
SRCAP	4	1.162790697674419	43200	2.6916451335055983e-05
CHD7	4	1.162790697674419	189288	6.142971015988434e-06
FAT4	4	1.162790697674419	178014	6.532018255162058e-06
TBC1D2	4	1.162790697674419	56638	2.0530221718182468e-05
DSP	4	1.162790697674419	45097	2.5784213975972204e-05
DAPK1	4	1.162790697674419	211406	5.500272923542466e-06
KDR	4	1.162790697674419	47114	2.4680364598090137e-05
C2orf16	4	1.162790697674419	45336	2.564828607893106e-05
FRAS1	4	1.162790697674419	486946	2.387925350397002e-06
CD1B	4	1.162790697674419	3580	0.0003248018708587
HCN1	4	1.162790697674419	441550	2.633429277940026e-06
ZAN	4	1.162790697674419	64202	1.8111440417345544e-05
DNAH10	4	1.162790697674419	173532	6.700727806251404e-06
CHAF1A	4	1.162790697674419	42378	2.743854588877292e-05
ACTL7B	4	1.162790697674419	1398	0.0008317530026283
ZNF827	4	1.162790697674419	181196	6.417308868156133e-06
SPEG	4	1.162790697674419	58786	1.9780061539727463e-05
ITIH2	4	1.162790697674419	46204	2.5166450906294232e-05
PKHD1L1	4	1.162790697674419	174746	6.654176334075851e-06
DMD	4	1.162790697674419	2241932	5.186556495354982e-07
ZEB1	4	1.162790697674419	211319	5.502537385064375e-06
PCDHB6	4	1.162790697674419	3230	0.000359997120023
RELN	4	1.162790697674419	518277	2.2435699397704674e-06
LRRIQ3	4	1.162790697674419	172172	6.753657375615191e-06
ZNFX1	4	1.162790697674419	40480	2.872506664215461e-05
MPEG1	4	1.162790697674419	4417	0.0002632534973227
KANSL1	4	1.162790697674419	195473	5.948600050515511e-06
CCDC85A	4	1.162790697674419	202182	5.75120781115242e-06
ABCA13	4	1.162790697674419	476039	2.44263746809488e-06
LCE1F	4	1.162790697674419	1884	0.0006171925146891
KCNN1	4	1.162790697674419	48792	2.3831585048254196e-05
OR5L1	4	1.162790697674419	1109	0.0010485037850986
CACNA1A	4	1.162790697674419	426583	2.725825214962665e-06
ZFHX4	4	1.162790697674419	186042	6.25015156617548e-06
CD5L	4	1.162790697674419	67345	1.726617711299159e-05
XKR4	3	0.872093023255814	440026	1.9819124852981733e-06
RAB5C	3	0.872093023255814	30066	2.9005954342307387e-05
COL11A2	3	0.872093023255814	29818	2.9247200457972165e-05
ROBO4	3	0.872093023255814	14809	5.8889393156581406e-05
ADAMTS12	3	0.872093023255814	368484	2.3667052660517524e-06
RIMBP2	3	0.872093023255814	372095	2.3437375488942715e-06
TRIOBP	3	0.872093023255814	79508	1.0968619802482943e-05
CEP120	3	0.872093023255814	78702	1.108095122431214e-05
PLCH1	3	0.872093023255814	369491	2.3602551165138363e-06
PTPRG	3	0.872093023255814	736040	1.184844605260331e-06
LYST	3	0.872093023255814	222683	3.916298160415541e-06
PLXNA2	3	0.872093023255814	222142	3.925835831386293e-06
NUMA1	3	0.872093023255814	77829	1.1205245130424572e-05
ZNF208	3	0.872093023255814	77991	1.11819700126401e-05
