Gene	Mutations	MutationFreq%	Lenght	Corrected
BRAF	2	2.5316455696202533	205602	1.2313331434617626e-05
TOP3A	2	2.5316455696202533	43579	5.809324605016759e-05
NLRP7	2	2.5316455696202533	42803	5.914645164171327e-05
TSC2	2	2.5316455696202533	41524	6.096824895530906e-05
NTNG1	2	2.5316455696202533	344916	7.339890204050416e-06
EPB41L3	2	2.5316455696202533	238319	1.0622927964703837e-05
COL1A2	2	2.5316455696202533	36332	6.96808755262648e-05
SYT9	2	2.5316455696202533	230265	1.0994487089311244e-05
AAK1	2	2.5316455696202533	216352	1.17015122098259e-05
PDLIM5	2	2.5316455696202533	216370	1.1700538751306804e-05
LIMK1	2	2.5316455696202533	39592	6.394336152809288e-05
MUC5B	2	2.5316455696202533	39106	6.47380343072739e-05
GAB2	2	2.5316455696202533	203055	1.2467782470858895e-05
RGMB	2	2.5316455696202533	29993	8.440788082620122e-05
PKD1	2	2.5316455696202533	47190	5.364792476415031e-05
MYH2	2	2.5316455696202533	28552	8.866788910129774e-05
OLFML3	2	2.5316455696202533	56181	4.506230878090908e-05
DHTKD1	2	2.5316455696202533	54267	4.665165882802169e-05
POLR2B	2	2.5316455696202533	53436	4.7377153410065376e-05
ITGAM	2	2.5316455696202533	72925	3.4715743155574265e-05
SCRIB	2	2.5316455696202533	24853	0.0001018647877367
TRRAP	2	2.5316455696202533	172898	1.464242252438e-05
GGT5	2	2.5316455696202533	25454	9.945963579870562e-05
MED12	2	2.5316455696202533	25560	9.904716626057328e-05
ADAM23	2	2.5316455696202533	177595	1.4255162417974904e-05
FAT4	2	2.5316455696202533	178014	1.4221609365669293e-05
GLI3	2	2.5316455696202533	303151	8.351104134969877e-06
BRIP1	2	2.5316455696202533	184420	1.3727608554496543e-05
PCDHA5	2	2.5316455696202533	190743	1.3272547719288536e-05
BMPR2	2	2.5316455696202533	191424	1.3225329998434125e-05
EGFR	2	2.5316455696202533	192611	1.3143826518839804e-05
CDH6	2	2.5316455696202533	135460	1.8689248262367143e-05
KCND3	2	2.5316455696202533	219006	1.1559708727707246e-05
KRT27	2	2.5316455696202533	5742	0.0004408996115674
DSEL	2	2.5316455696202533	10133	0.0002498416628461
FGA	2	2.5316455696202533	7616	0.0003324114455908
PCDHB7	2	2.5316455696202533	3739	0.0006770916206526
BBS9	2	2.5316455696202533	767623	3.2980324581471028e-06
DYNC1H1	2	2.5316455696202533	91870	2.7556825619029644e-05
MMP9	2	2.5316455696202533	7653	0.0003308043341983
NPHP1	2	2.5316455696202533	82755	3.059205570201502e-05
LCN2	2	2.5316455696202533	4382	0.0005777374645413
TUBB4A	2	2.5316455696202533	8529	0.0002968279481322
