Gene,Number of connections,Connected genes
SLC26A11,34,PKP3 HPN-AS1 ZEB2 ZBTB47 ARHGEF28 P2RX1 LDLRAD2 MRPL41 CREB3L4 EPGN RBM10 OXLD1 RNF11 TNN MBOAT2 EID1 DR1 WARS2 UPP2 RPS6 ERAL1 RP11-334A14.2 RP11-552F3.9 RP11-445N20.2 PSMG1 TRAM2-AS1 CLYBL SIGLEC16 MRPL37P1 AL845472.1 RBBP6 RND1 WAS FBXL20 
RP4-545L17.11,34,NME1 MET MIR133A1HG ADCY6 TLR5 LINC00308 KIAA2026 RNF135 AC019181.2 AC068039.4 IBA57-AS1 PHKA2-AS1 SPHK2 TMEM44-AS1 CTLA4 SFSWAP GOLGA8N ZNF654 RP11-270C12.3 RP11-766F14.2 ZNF281 ORMDL2 C1QTNF9 TOP3B GUCY1B3 RP4-592A1.2 IGKV1-39 ENPP7P4 RNF186 SOX14 TPI1 JMJD1C-AS1 THAP6 CDH1 
INPP5B,34,LINC00968 CTD-2008L17.1 B4GALT5 MED20 RP11-4B16.4 NPAS4 TMEM69 PRSS8 SLC27A6 FLJ16779 RP11-302I18.1 FBXL17 NUMBL RPS3AP34 RP11-449G16.1 PIK3R5 RP11-123B3.2 DLG1 IGHV3-20 ZNF614 RP11-271K11.5 RPS24P8 NOVA2 SEPT1 SDR42E2 NBPF3 HSPB9 RP11-832N8.1 RP11-283G6.4 PROCA1 BPNT1 ZRANB3 RHOD ATXN7L3B 
C7orf31,34,C16orf89 HPCAL4 CDK5RAP3 CEP162 TRIM35 GAK CNOT11 C7orf55-LUC7L2 ANAPC10 TTC39B ABCB6 ADAM15 TMEM231 GFRA2 CTD-2595P9.4 TDP1 CD69 GCN1L1 RP11-263F14.3 PDZRN3 RP11-331N16.1 GRID2IP RP11-727F15.12 HMGB1P31 DUS2 EN1 RP11-380G5.3 MUSTN1 CTD-2515A14.1 SMIM2-AS1 FXYD7 RP11-609N14.4 CTD-2134A5.4 NOC3L 
BCRP3,34,RP11-561N12.5 TMEM132C MIR31HG RRM2 HMGB3 CARTPT SSR2 RP11-234K24.6 RP11-373D23.3 RP11-424N24.2 CCND1 CTD-3234P18.6 HIP1R ABCB10 TM9SF4 AC016700.6 ZMYND12 TGFBI C17orf49 ADO C6orf10 ZNF175 ATRIP DDX23 KRTAP1-5 BCL2L10 CD300E PGCP1 RP11-73M7.6 MAPKAPK2 ZNF639 TCTE1 MST1L COPB1 
GNG4,34,RP11-60A24.3 ITGA2 DTNA ONECUT2 TRAF3IP2 C16orf13 LINC01125 CDKN2B RP11-30L15.6 ELOVL3 CDK5RAP1 SLC29A2 MRPS12 TRMT12 ETV4 AC013717.3 IL7 CHRM3-AS2 EHF IGHV1-3 GLB1L2 B4GALNT2 RFESD NOTCH3 RP11-589N15.2 AC105402.2 TRBV4-2 MOXD1 MUC6 AP1B1 GINS1 DYRK2 TOR1AIP2 DBNL 
PRLR,34,APBB1 TEAD1 ARHGEF40 BBS2 SLC43A3 KIAA0087 OR52I1 TRAIP LINC01534 BX842568.1 GCDH LINC00969 WDR76 MIR99AHG KRR1P1 RP11-1099M24.6 KLHL9 LINC00854 RNF141 TMEM189 CXCR2P1 GRAP2 RP11-382D12.2 AMELY DEDD2 RRNAD1 GHc-857G6.7 EEF1A1P16 PPP2R2A RP11-6B6.3 NPHP1 RP11-517B11.7 NUTF2 HCLS1 
MT-RNR2,34,PGM5P4 GTPBP3 TRIM29 LAMB3 DENND5A RIMKLA MATN2 CTD-2302E22.6 P2RY14 RP11-798G7.6 EPHB6 RP11-762H8.2 MRPL22 CDC42P6 CLCN3P1 RPS23P6 SLC44A1 RP11-146E13.5 CTC-429P9.1 TTI1 SGK2 NAT8 NMD3 RP11-278J6.4 RP11-2C24.7 TCHH POU2F1 RP11-526I2.5 RP11-286E11.1 SMAD5-AS1 PPAP2A PPIL3 ZNF250 KIAA0196 
LINC01443,34,NPTN RP11-468N14.13 RABGAP1 SIMC1 TRIB3 RP11-97C16.1 ZNF48 TGFB2 ITGBL1 RNF126 ARL6IP6 MCCC2 CD82 AL590431.1 GS1-304P7.1 CTC-459F4.3 RP11-627K11.1 EGR4 LPGAT1 NPIPB11 RP11-30L15.4 ASCL5 NAGA DIRC2 RP11-111J6.2 CFAP54 AIM1 RP11-230B22.1 RIMBP3 CTC-277H1.7 EMR4P CTD-2310F14.1 MARC2 NUP35 
BBS4,34,RMDN2 RP11-452L6.6 RP11-680F20.10 INPPL1 CASP1 RP11-351J23.1 CPT1B LL0XNC01-7P3.1 RP13-104F24.3 SNN ANXA2P1 LLNLF-187D8.1 UTP18 PSMA5 RP11-727A23.10 TEK ZNF749 RP11-405M12.4 AC092159.2 HMGN3-AS1 CPS1 CDK5R2 MTCH2 HGS ACTL6B AP000807.1 SDHDP6 SIT1 FAR2P3 TRBV6-6 CYP4Z2P GPX5 PCDHGA8 GTF2B 
C9orf172,34,TULP2 RP11-359K18.4 RPL39L RP11-98D18.17 MROH7 RP11-1143G9.2 C1orf86 UBE2E3 ANP32B VPS54 RP13-20L14.10 AKAP8L PTENP1-AS RP11-363E7.4 ZSCAN5A PTMAP5 RP11-265N7.1 METTL2A RP11-317J10.2 HIST1H2BJ FSD2 C8orf82 ZNF573 RP11-139H15.6 CTB-113P19.4 RP11-146N23.1 C15orf39 HNRNPA1P12 C5orf45 BPGM USP24 DDX60L OLFML2B ABHD14A 
CD24,34,SLC2A5 TCEAL2 SPEG PAICS SLC5A6 RP11-341G23.4 AC093390.1 LGALS3BP AC144530.1 EFCAB6-AS1 OR52N4 PAPPA-AS2 ATF4 RP11-7F17.5 SERF2 RP11-76E17.3 SACM1L CYP51A1-AS1 C1orf216 XXbac-BPG252P9.10 DDIAS MUC5B RP11-758N13.1 RHOXF1 KCND3 AC145343.1 SIRT4 RP11-428J1.4 PAG1 ARHGEF37 ADM SLC7A2 CUL9 PRPF38B 
AF001548.5,34,PRKCB SMKR1 ATAD3A C3orf80 TTBK2 BNC1 LMCD1-AS1 LINC00894 AC007383.3 DDRGK1 DCAF11 CHRD RP4-647J21.1 AIFM3 RPL27A ZNRF3 SUPT20H ARRDC2 SF3A3 KCNC4 ZNF596 RP11-757O6.1 KLF6 GLUD2 C22orf46 CNGA4 RP11-121G22.3 FAM135B CD6 APOL4 MSH6 SASH3 RALGAPB YES1 
SIAH3,34,NNT KCNE5 PGAM1 APOC1 LINC01563 ING5 GDI1 RNF44 UPK2 RP3-406P24.5 RP11-506M12.1 FRMD6-AS1 TRIOBP MICB PTCD2 PLK3 DHX8 HCP5 RP11-350J20.5 CCDC106 SLC31A2 WIZ PON1 RAB28 CCDC88C RP11-214F16.8 RP11-440I14.3 IGKV3D-11 SVIP COL5A3 TMEM102 CHST12 ITPR3 PDS5A 
RP11-97C16.1,34,NPTN RP11-468N14.13 RABGAP1 SIMC1 TRIB3 ZNF48 TGFB2 ITGBL1 RNF126 ARL6IP6 MCCC2 CD82 AL590431.1 RP4-756H11.5 GS1-304P7.1 CTC-459F4.3 EGR4 RPP30 PCDH8 RP1-232L22__B.1 LPGAT1 NPIPB11 RP11-30L15.4 ASCL5 LINC01443 RN7SL138P NAGA RP11-111J6.2 CFAP54 AIM1 RP11-230B22.1 CTC-277H1.7 MARC2 NUP35 
FZD1,34,SVIL FZD7 RHOB CAPN15 ANTXR2 STX2 NFS1 AC137695.1 DOLPP1 GOLGA2 EFCAB6-AS1 USP4 SLC39A5 LYG2 BCAS3 ZNF391 RP11-343H19.1 BUD13 FAM131B RP11-367N14.2 MRPL27 ADCK2 ALDH1L1 RP11-363N22.3 TSSK6 KBTBD7 SAP30L-AS1 RP4-718N17.2 CPEB2-AS1 AF196972.9 LHFP EIF3E AK9 PPCS 
RHOC,34,P2RX1 CREB3L4 EPGN LYRM7 RP11-261P13.6 SEPT5 RP11-298D21.1 RBM10 PLD6 EFCAB10 KL TMSB10 RP11-272P10.2 XXbac-BPGBPG55C20.1 WARS2 NBEAL1 AC016712.2 ERAL1 OTOP3 RP11-334A14.2 HIST1H1D CTC-526N19.1 ABCC12 RP11-552F3.9 RP11-445N20.2 PSMG1 TRAM2-AS1 CLYBL SIGLEC16 SLC28A3 AL845472.1 SCN2A FAM188B RND1 
KCNJ2-AS1,34,CHRM2 FOXO1 RP11-3D4.3 AF001548.6 RAB11FIP3 IRF7 ASAP1 MYO9A SCG5 HIST1H3B SH3D19 PCDHB9 WDR63 RP6-74O6.2 LDLRAP1 AF186192.6 ZHX1 KCNJ2 FAM43B BTK NUDT4 KLHL8 RP11-699L21.1 BTLA LOC401913 UTP15 IGKV1OR2-108 PHF2 IGHV3-74 RP11-164P12.4 TMED10 RPAP1 EIF3A YWHAZ 
CTC-487M23.8,34,SLITRK6 ANKRD53 AAAS ANKRD7 FBXL6 ATL2 UTP3 SFXN2 LINC00987 RP5-1112D6.7 SLC35F1 RP11-540B6.6 STK11 NAA10 EPHX4 ECM2 CTD-2314B22.1 CLASP1 DNAAF1 OSTF1 RTN1 MXRA5 SEC22C COQ10A ANKRD54 HACL1 DCAKD NAMPT IFI44L CALM2P2 CCDC144A C1orf226 USP6NL DUSP12 
RP5-1157M23.2,34,RP11-805I24.3 STX7 GBP1P1 RP11-118K6.3 RP11-69I8.3 ANKRD27 SMAD9 RP11-597D13.9 CALN1 RGS2 RP11-203J24.9 USP53 SHPK TJP2 CD302 THAP9-AS1 AC079922.2 ZSCAN5A CCDC43 EFHB KCNK2 GPT RP11-317J10.2 TMSB4XP4 AL022393.7 KRT83 FAM63A C15orf39 HNRNPA1P12 GYS1 SMTNL1 OLFML2B LRP12 RAB40B 
CYP4F62P,34,ST6GALNAC2 RP11-160O5.1 JAKMIP2 LINC00675 SLC27A3 PCSK9 DDX55 LINC00702 FLJ16779 MCM3AP-AS1 RP11-43F13.4 SMS EYA3 SIRT6 RP11-87H9.2 PHACTR4 GOT2P2 CTCF RPS24P8 RP11-554D14.6 MTRR SLC45A4 IFI6 HCCS RP11-35O15.2 LDHAP7 RP11-120B7.1 METTL25 TCTE1 TOLLIP RP11-521B24.3 DNAJC11 FKBP5 TMEM164 
DYM,34,RP11-465N4.4 PI16 SMPDL3B AC009133.12 RP11-884K10.6 RP5-902P8.10 LINC01451 ADAM23 MCM7 FBXL17 LINC01124 STAG1 ZNF443 CYR61 PIGM IGHGP MAGEE1 LTA4H PDE9A AGR2 CTD-2530N21.4 LIAS RP11-271K11.5 GS1-72M22.1 CHST8 CTD-2026K11.6 PNOC ANKRD9 RP3-400B16.1 UTRN RP11-474N24.6 RP11-521B24.3 NIP7 CAPN5 
ELAC2,34,JPH4 RCC1 RP11-66N24.3 SYDE1 SHMT2 FBRSL1 PPAP2B FAS APTX RP11-259O2.1 MANBAL TNKS RIN2 ARHGAP5 LL22NC03-22D1.1 SCARNA9 THUMPD2 RP4-620E11.8 NDEL1 HMGA1P4 ATP1A1-AS1 TSSK5P LYRM4 HSPA5 RHOBTB3 AC074183.3 EFCAB11 ARL8A MARK2P15 RP11-327J17.9 RELB STAB2 PWP2 DDX52 
IGSF23,34,TCF7L1 SLC14A1 RP5-1014D13.2 CLN6 DRD1 CSDE1 CTD-2256P15.2 RP3-462D8.2 ABHD11 PRDM2 RP4-789D17.5 TLR2 CTD-3074O7.5 GPR146 DTNB PRH1-PRR4 LAMP5 FAM72C RPE CIDECP GATC L2HGDH HES2 RP11-809C18.3 RN7SKP70 FRMD4B ATRIP XKR6 MCM8 SLC25A21 AC011747.4 C11orf84 CYB5D2 SPCS3 
LINC00998,34,NFE2L2 RP11-532F6.3 HNRNPAB FBXL6 RP4-616B8.4 FOLH1 RGS12 LUZP1 NMI SLC39A3 CTC-232P5.1 AC080094.1 CTD-2350C19.2 SEPHS2 LIPC MATN4 RP11-141B14.1 C8orf44 MDM4 RP11-288E14.2 FNDC3B RPS19BP1 AC083873.4 NSMCE2 ERLIN2 DCAKD RP11-388M20.1 MEF2BNB POLA2 DYRK4 PBX4 SALL2 FBXO38 ACAA1 
CTC-429P9.2,34,RP11-88I18.3 PGM5-AS1 EHMT2-AS1 MAGEE2 MAZ TMCC1-AS1 WFS1 CTD-2256P15.2 RP11-168F9.2 GNA11 PTCHD4 SECTM1 SLC26A7 FAM72C ANKEF1 SYK RP11-220D10.1 AHSA1 L2HGDH RP11-727F15.12 EIF1AD IKBKG APOD RP5-1057I20.5 RAB27A GCKR RP13-923O23.7 AC107983.4 RABAC1 SMN1 CTD-2001C12.1 THYN1 KCNAB2 EFCAB6 
FAM86FP,34,ZNF185 FZD7 ARHGDIA ANTXR2 GNA14 CAV3 RUSC1 TMEM14A RNF215 COX17 DOLPP1 ZNF205 DENND6B DACH2 AC007405.6 AF064858.6 AL133243.2 INCA1 FAM131B TMC1 RPL21P75 PSMC3IP SLC48A1 RP11-30K9.1 RP11-767N6.7 TIMD4 ARHGAP44 RP11-976B16.1 NKAPP1 RAB6A GPR162 ZFYVE28 LHFP PIGT 
MAPKAPK3,34,RP11-524H19.2 EIF3B ANXA2 RP11-196G18.22 CDC37L1 LINC00506 TARID RIPK3 RABGGTA RNF13 LL22NC03-121E8.3 NLRP8 AC007966.1 INSM2 ZNF791 SSNA1 MMP13 STARD13-AS CTC-499B15.8 AC093495.4 C17orf53 AP003068.23 PRKRIRP7 GLYR1 CATSPER1 CTA-268H5.14 AIG1 S1PR4 TOPBP1 CCDC59 ARAP2 VWA9 AGPAT5 PTPRM 
SNTN,34,RP3-467K16.2 CASQ1 RP11-155D18.13 PITX2 PIK3C3 SOBP RP11-57G10.8 HBB CALCOCO1 LINC01237 SCN3A PCBP3-OT1 TMC5 GPC6 HIAT1 HNRNPA1P16 NRIR RP3-391O22.3 MARK3 LINC01003 ARHGEF5 GIMAP5 CISD2 TMSB4XP4 TAF1 FAM193A RP11-115H13.1 RP11-435F17.3 RNF219-AS1 RP11-339B21.8 RP5-991G20.2 EPX RAB40B EIF6 
FAM110B,34,MAPKBP1 CCL28 RP4-613B23.1 MRGPRF-AS1 RP11-307B6.3 FRAT2 PSMB7 SWSAP1 GZF1 LENG8 PKD1L3 TBX19 PRKCQ CREM RP11-452C8.1 LINC00969 ARID1B COQ5 CNKSR3 FDX1L RPL21P28 RP4-655J12.4 RP1-90G24.11 RPSAP4 TRBV7-3 PDGFRL FDX1 RP11-111J6.2 RP1-159A19.4 CTD-3035D6.1 CCDC184 DAP MARCKS C5orf22 
ZNF266,34,CIRBP-AS1 SERPINB1 NCKAP5L PCDHGA9 RNF135 TRIM68 PPCDC NFAT5 NRIP2 ATP6AP1L MTPAP EDEM3 POLR3C NDUFAF2 ABCC5 RDH12 LY6G6C GADD45B SSSCA1 PMS2CL RASGEF1A HNRNPA3P12 RORB GATA1 RP11-80F22.13 ABCG5 IGKV1-39 PROCA1 KDM4D BPNT1 COPG2 TSEN15 CHCHD7 FAM83F 
MT1JP,34,ANO5 CASQ1 RPS6KA4 GBP1P1 REPS2 SCTR ART5 RP11-186B7.4 LINC01237 ECM1 DIS3 RAD9A ALOX12-AS1 SDCBP2 CTD-2132N18.4 RPL10 AC079250.1 PA2G4P4 NUAK2 VAMP1 MPP3 FREM3 KBTBD8 CARD11 ZEB1-AS1 RP11-94C24.13 RP11-44F14.2 AC005077.7 TNFRSF10A RP3-468K18.6 IP6K1 SNRNP200 RRM1 NDRG1 
RP11-538D16.3,34,FAM162B PLS3 ZNF383 ZFAND5 IRGQ MITD1 DEPTOR MRPS18A AP3B2 CATSPER2P1 ZBTB20-AS4 ALDH9A1 DUS3L FUT1 PLEKHA7 CACNA2D2 LINC01547 RER1 NT5C2 RP11-435F17.1 HIST2H4A RP11-134G8.5 RP11-578O24.2 HRASLS2 C1orf168 TUBA4B ABI3 SMG7-AS1 NLRC4 NPHP3 ZNF594 ESF1 DEF8 CUL4B 
CNPPD1,34,PAQR8 MAPKBP1 DENND1C CTD-2008P7.9 MRGPRF-AS1 FRAT2 STEAP3 RP11-174G6.5 ECE2 DNAJC9-AS1 BTG2 TBX19 SYN1 AL590431.1 GPSM3 CTA-204B4.2 GLRX5 RP4-604A21.1 LRRC37A11P ELK1 CNKSR3 RP3-325F22.3 RPL21P28 TMEM232 CBY3 RPSAP4 PDGFRL RP1-159A19.4 CTD-3035D6.1 PIGA CCDC184 ANKAR MARK4 RAB7A 
MBNL1,34,DZIP1 HCFC2 SMARCD3 ZNF655 RP11-1275H24.2 ISYNA1 SPRY1 CAPZB LINC00475 MPST FAM172A PPP2R2D CLIC2 COLGALT1 MFAP2 AMN1 HIPK2 ZNF793 SLC10A3 RP11-356O9.2 CCL5 ZNF708 RNASE6 SOAT1 CSPG4P13 RP4-765C7.2 TNR AC004985.12 GSTT2 AC002064.4 KCNK13 SYNJ2BP-COX16 SPN GLS 
TFEB,34,RP11-465N4.5 RBMS1 ARID3A DDX19A PITX2 CCDC64B AP001347.6 CEACAM7 RP11-449J21.5 GPR137 ENTHD2 AOC2 FOXRED1 PIN4P1 LRP11 ZNF8 ORC5 LINGO1 POLR3A CTD-2619J13.27 C17orf99 MYPOP LINC00565 GPR22 UQCRC2 CDH24 CTD-2319I12.4 TCTA ICE2 CTD-3193O13.8 CYP4Z2P RPL10AP2 AC145343.1 GCC2 
HSPA8P8,34,TLCD1 GJB4 FTOP1 CPQ FAM110C CCNI2 SEPT5 RP11-298D21.1 VGLL1 RBM10 RP11-468E2.5 SLC7A6OS PLK2 NBPF8P RP11-90B9.3 SSBP4 MXRA5 TMSB10 RP11-272P10.2 LRBA CBFA2T2 RP4-751H13.7 C10orf128 TMEM208 F2RL1 OTOP3 RP11-629O1.2 UGGT2 RP11-445N20.2 CLYBL RPS12P26 NFKBIE PCDHA4 FAM213B 
CDC34,34,LURAP1 AC141930.2 RASD2 RP5-1139B12.3 ACTBP2 CCDC58 RP11-444D3.1 NRTN PRG4 NFATC2 LRP3 ESYT1 RP11-504P24.8 TKT FKBPL ATP5H RN7SL208P TRIM72 CGN RP11-48G14.3 SUGT1P3 RP11-414J4.2 SLC18A1 BIRC6 STMND1 RP11-440I14.2 SLC26A2 RP5-1142A6.2 RP11-298C3.2 LINC00910 RP11-981G7.6 YTHDF3 SCAMP1-AS1 NABP1 
RP11-537H15.3,34,PLEKHA2 RP11-60A24.3 ONECUT2 IQGAP3 CTD-2574D22.3 RNU6ATAC35P RP11-651L5.3 ARNTL2 PLA2G6 LRRC1 ATP5D AP001469.9 C10orf71 GJB2 PDE7A BAMBI RP11-548H18.2 AGFG2 AC017074.2 EHF RP1-122P22.2 RP11-113K21.6 GBE1 NOTCH3 RP11-589N15.2 RP11-94C24.13 RP11-44F14.2 AC005077.7 ARRDC5 RP5-940J5.6 SHBG MCEE GINS1 MTHFSD 
MARK2P15,34,UGT3A1 CLCN2 ELAVL3 C10orf54 ZDHHC23 BMP7 STK35 LYPD5 RP11-405M12.3 KB-431C1.5 ARHGAP5 GS1-166A23.2 EIF4E2 TAS2R20 ZFX C19orf81 HMGA1P4 C12orf10 NPM1P27 TP53BP1 WI2-87327B8.2 ARL8A ARMC10 C18orf32 RP11-327J17.9 USP18 SPA17P1 GPR179 RGPD2 RP11-1038A11.1 RP11-389G6.3 LINC00426 ZSCAN1 ELAC2 
ARL6IP6,33,NPTN RP11-468N14.13 AC074117.10 SIMC1 TRIB3 RP11-97C16.1 ZNF48 TGFB2 LDB2 SGOL1 ITGBL1 RNF126 CD82 MRPS17 RNF150 GS1-304P7.1 CTC-459F4.3 EGR4 IGHV3-7 AC090044.2 PCDH8 LPGAT1 NPIPB11 RP11-30L15.4 ASCL5 LINC01443 RN7SL138P RP11-20E24.1 AIM1 RIMBP3 CTC-277H1.7 KCNQ1 NUP35 
PLIN1,33,ADAMTS18 SEMG1 NONO FRAT2 PKD1L3 TARS BTG2 KCTD6 LIMCH1 FABP4 ABLIM1 PRAP1 HIST1H2BF CORIN COQ5 GLB1L HPCA NSUN7 PCED1B IGHV4-55 RP11-215A21.2 AC005523.3 AMELY RP4-655J12.4 PPP2R2A C9orf40 WNT7B CYTH1 CTD-2031P19.4 CTD-2516F10.2 PCNXL4 H3F3A TTC21B 
PLXNB1,33,HCG23 CES1 PCDH9 RP11-394I13.2 RP5-1139B12.3 EPAS1 CCDC58 RP11-444D3.1 LRP3 MKKS ZNF341 GOLGA8B TKT IFIT2 IER5L URB2 CGN ZNF268 XBP1P1 APLNR AC012074.2 RP11-706P11.2 PHKA1 AKNA MBOAT7 SUGT1P3 CTD-2005H7.2 ARHGAP26 SLC26A2 LAMA5 SELPLG PIGS THAP3 
DEF6,33,STAC ARHGEF38 AC010148.1 RP11-66N24.4 CTD-2089N3.1 NTRK1 ALDH18A1 HOXB-AS2 RP11-260M2.1 DVL2 VN1R1 FOXJ1 NPFFR1 STK25 PICK1 AC024560.2 CRYBB3 DNAI1 STX18-AS1 TOLLIP-AS1 SPCS2 RP11-400F19.18 CDR2 RP11-472N13.3 PFDN1 RP11-373N22.3 CD97 CTD-2619J13.3 RADIL SMO NTNG1 TBPL1 BACH1 
MUTYH,33,SCN5A HOXA7 CLDN11 CD3EAP CTC-559E9.8 RP5-902P8.10 S100A8 SEPT7P2 DBF4P1 KPNB1 RP11-640N20.4 IL1RAP API5 CAMSAP2 CTB-1144G6.6 RP11-345P4.6 IDNK NUDT14 ANGPTL6 CTD-3131K8.2 SPX G6PD ZNF200 RNU6-137P HSPA8P1 LINC00235 RPL5P3 SIX5 RP11-89H19.2 THYN1 CEP164 DDX42 RLIM 
IGFBP7,33,PPP1R14B DPYSL3 PGM5 PRPH2 KIT SLC16A7 IRAK1 TMEM145 RP11-1105G2.3 FLJ21408 CTD-3193O13.12 CATSPER2 HSPE1 RPF2 TUBA3FP ASXL1 ACSBG1 AC087380.14 RP11-446J8.1 CIRH1A UBL5 PRMT3 CTD-2342J14.6 RNF20 GPR25 HSPA7 CACNG6 DLL1 NME9 INTS6-AS1 TMEM126B C10orf32 TMEM261 
SNHG14,33,FAM196B TACC1 PRSS35 NLGN4Y C2CD2L SLC6A16 ANKDD1B MSLN GOLGA8VP CECR5-AS1 BTBD8 AC009303.2 HIST1H2BG ARHGAP33 RAI14 MAPK1 GEMIN6 KCP STAT3 RP11-368I7.6 CDHR4 PSMD10 RP11-545P7.9 ZDHHC8 RP11-274H2.5 RP11-455F5.5 CYP2E1 PRPF8 FAM177B RP11-96H19.1 GRAMD1C FAM98B NCEH1 
SEZ6L2,33,RRP12 WNT6 RP11-305E6.4 PLA2G7 CTB-31O20.2 AC006128.2 HBS1L RP11-455F5.6 RP11-426L16.3 IVNS1ABP NDUFA10 OVOL2 HNRNPLP2 KCNC1 FGF13 RP11-849N15.3 HAP1 RP11-389C8.2 LL22NC03-2H8.4 RPS19P1 RP11-451G4.2 RP4-742C19.13 RP11-262H14.3 PPIAP6 HFE2 RP11-475O23.3 RP11-381E24.1 AC002064.5 RPS13P2 TIGD4 MRPL18 CASP7 FZD5 
DPH2,33,FBXL7 OSR2 CHMP1B C2orf82 PSMD3 MAMDC2-AS1 S100A3 SPATA2L TMEM44 KCTD5 LINC01452 SPCS2P4 CD163L1 ATP6V0E2-AS1 MYSM1 ST8SIA2 RP11-407H12.8 ITGB2-AS1 CCDC176 TWF1P1 KBTBD6 AC011525.4 ZNF285B WNT7B RNU4-2 CGA FAM219A STAP1 LAMB4 RBBP4P1 RP1-197B17.3 RNF139 HERC2 
DNLZ,33,RMDN2 PDE4D RP11-290O12.2 NME1 GRIN2A ADCY6 C2CD4D SNN CDH3 RP3-337H4.9 CHDH ARSI RP11-507K2.3 SELO RP11-46H11.11 SLC38A3 RP11-325I22.3 CCDC25 RP11-544I20.2 SPHK2 RP11-15J10.1 LILRB3 SPRTN RP11-692D12.1 RP11-180M15.6 HGS RP11-375I20.6 ACTL6B QTRTD1 RBM12B FSIP1 THAP6 CDH1 
MAPRE2,33,RAB17 TGFBR3 WNT10A RP11-72M17.1 NDUFV2-AS1 PABPN1 PCNP C2orf72 NMT2 SLC25A42 KDM4A-AS1 CTD-3214K23.1 TWIST1 IL17B RP11-583F2.2 INPP5A GBA2 TUBD1 RP11-138J23.1 RP11-139H15.5 RP11-54O7.17 BHLHA15 TNRC6C-AS1 GCSAM GGT5 HGF UBXN1 ABCB1 RP11-29G8.3 CTD-2246P4.1 AC004987.9 CEP44 PDHB 
KLHL30-AS1,33,FOXI2 SNHG7 COPG1 GLYCTK-AS1 ZNF564 EGFL8 ASLP1 CTD-2095E4.4 AC093690.1 CTA-363E6.2 SEC23B TEN1 LRRC8C RP11-36C20.1 RP11-830F9.7 IGHV1-69 ERAP2 ZNF384 EEF1A1P8 CTD-2619J13.5 BCL2L2 MLLT3 ANXA2R MMAB C17orf61-PLSCR3 EBI3 AL022344.7 RP4-591C20.9 COL22A1 PLK4 NEK1 TBC1D12 EZR 
PPM1F,33,AC141930.2 RP11-158I9.5 RP5-1139B12.3 EGFLAM ACTBP2 RP11-57G10.8 ESRRA GLYATL1 RP11-203J24.9 RP11-1060G2.1 TKT HPRT1 PTPRA FKBPL STEAP3-AS1 CTC-444N24.6 ZNF805 NOP56P3 SH3RF2 MS4A4E NAPB INAFM1 AKNA RP11-414J4.2 KLF2P2 HOTAIR HMOX1 DUSP27 RP11-440I14.2 RP11-298C3.2 SCAMP1-AS1 SMG8 ANAPC13 
SSBP4,33,GJB4 FTOP1 FAM110C CCNI2 SEPT5 RP11-90B9.3 MBOAT2 SH3GLB2 TMSB10 RP11-272P10.2 KDM4E LRBA CBFA2T2 NSMCE2 TMEM54 C10orf128 RP11-295H24.4 F2RL1 OTOP3 RP11-334A14.2 SEC61A2 IFITM2 UGGT2 RP11-445N20.2 LINC01146 HSPA8P8 LINC01348 RPS12P26 RCN2 NFKBIE PCDHA4 PPP2R2C FAM213B 
MAB21L3,33,SFPQ ACTN1 CTC-498J12.1 GAB1 RP4-612B15.3 MPL CEBPB-AS1 ASB1 ZDHHC3 SH3D19 TDGF1 RP11-95P2.3 RP11-1391J7.1 MPHOSPH10 ZNF407 NUBP2 RP11-401L13.4 NUDT4 SMIM13 CYB561D1 RP11-757O6.6 DHRS9 RP11-407G23.7 PIK3R6 PRSS51 RP11-554D14.4 GSS CD5 INVS EXT2 RNF138 ZNF496 PROSER1 
ARL1,33,RP11-452L6.6 ANP32E GALR1 SS18L1 RIPK2 RP11-288H12.3 LINC01504 KCNMB3 ART5 DIS3 PSMA5 HDDC3 EXTL3 RP11-57H14.2 ALOX12-AS1 SDCBP2 CTD-2666L21.2 AC004067.5 ZNF678 IGHV1OR15-9 ULBP3 RP11-250B2.4 RP13-401N8.1 PVRL3 FLT1 ITIH3 GDF11 RP1-161N10.1 MT-TT ACSL3 CCDC163P SLC5A1 MGP 
ADHFE1,33,FAM64A AC010136.2 RIPK2 PDCD7 ADRB1 XXbac-B476C20.9 TBC1D24 AC073257.2 CLTA SDCBP2 EIF5 LOXL3 RP4-753M9.1 FTH1P11 RN7SL2 GNAI3 GPT KBTBD8 BCRP2 KIAA1024 RAP1GDS1 YIPF1 IGHV1-46 RP11-94C24.13 PVRL3 HOXB5 TNFRSF10A SETMAR HOXA4 TMC8 IP6K1 PHF5A ZNF557 
AF001548.3,33,ZSCAN16 EFNA5 CASC9 DNAJC15 RP6-109B7.5 LINC00174 CLNS1A DIP2A KIF11 STT3A MARS2 RP11-295H24.5 NDUFA3 NUDT6 CXCL8 RP11-91G21.1 HERC2P10 LINC01352 FAM78A MTRNR2L10 RP11-423H2.3 TBX2-AS1 KLRC4-KLRK1 RP3-449M8.9 RP11-552M11.4 PMF1-BGLAP RP11-127L20.3 PRR29 AP5S1 HIGD1B XRCC3 STAB1 AKR7A2 
