Gene,Number of connections,Connected genes
TH,11,PSMB3 MAPKAPK2 PPP2R5D PSMB1 MAPK14 PSMB7 TFAP2A HOXA5 DRD2 UBE2L6 STAT3 
COL1A2,11,ADAMTS2 MSR1 COL1A1 CAV1 ITGA4 TLL1 ADAMTS3 PPIB BRF2 P3H1 ITGA10 
ATP6V1H,11,SESN2 ZNF217 CD8B LAMTOR2 ATP6V1G2 TCIRG1 ATP6V1B1 AP2A1 ATP6V0D1 ATP6V0A4 WDR59 
BTRC,11,SIX5 PYGO2 FBXW11 FBXO11 LEF1 HUWE1 HERC5 ZNRF2 YAP1 PPP2R5E UBB 
PTPRF,11,LRRC4B LRFN4 PPFIA1 PPFIA2 PPFIA4 PPFIA3 PPFIBP1 PPFIBP2 CTNNB1 SHC4 IRS2 
RELN,11,ZNF644 ZNF589 DAB1 LRP8 PAFAH1B3 ITGB1 ITGA8 MAPK8IP1 ITGA10 LRPAP1 ITGA4 
GORASP1,11,TRAPPC6B CD55 RAB2A GOSR2 COPG2 SPTBN2 RAB1A DCTN6 SPTB DCTN3 ARCN1 
ITGA5,11,SKAP2 PLAU CEBPA CEACAM6 CEACAM1 COL2A1 PAX6 TLN1 LIMS1 TAL1 ITGB2 
LRP5,11,SERPINF1 APH1A APH1B APBB3 WNT7B DVL3 CSNK1E FZD1 CTNNB1 NACA FZD8 
SYS1,11,RAB6A COG3 STX6 GOLGA1 RGP1 COG1 COG5 VAMP4 COG4 GCC2 VPS53 
ATP6V1G1,11,RPTOR SNAPC4 MIOS MLST8 RRAGC LAMTOR2 RHEB SESN1 NPRL2 ATP6V0E2 SEH1L 
CREM,11,SIK1 RBM4 NPAS2 IL5RA FHL5 ETV3 CRTC1 GPX4 XPO1 FOS PRKAR1A 
TNFAIP8,11,E2F1 TUBB2B TUBB TUBB1 ACTC1 ACTB ACTA1 ACTA2 TUBB6 RAC2 ACTG2 
BECN1,11,HMGB1 DAPK3 DAPK2 USP13 DAPK1 BCL2 UVRAG PINK1 GABARAP DYNLL2 PRKAA2 
C1GALT1C1,11,GALT1C1 MUCL1 MUC6 MUC5B MUC5AC MUC21 MUC17 MUC15 MUC13 MUC12 MUC1 
BCL9,11,APC TCF7L1 HELLS KMT2D SMAD1 MEN1 ASH2L SMARCB1 PYGO2 SMARCA1 SMAD5 
BBS9,11,TTC8 CCT2 CCT8 KLF3 GTF2B SOX2 BBS1 BBIP1 CCT5 NCOA3 BBS7 
RARG,11,S100A9 TGM1 PNRC1 KMT2C ARR3 CETP CNOT6 POLR2L NCOR2 RBP1 PAXIP1 
MAPKAPK5,11,KALRN CDC42EP5 CDC42EP2 DNAJB1 CDC42EP3 TP53 MAPK14 HSPB1 TXN MAPK4 PRKACA 
TLL1,11,HSPG2 LOX LOXL1 COL3A1 COL24A1 COL2A1 COL5A1 COL7A1 PCOLCE2 PCOLCE COL1A2 
REPS2,11,TRIP10 PIK3C2A CLTA AP2S1 DNAJC6 GAPVD1 ACTR2 EGF GAK ITSN1 GRB2 
SYNJ1,11,PIK3C2B SGIP1 SYT1 IL7R EPS15L1 VAMP4 PLCB1 ARPC2 HIP1 EREG SYT2 
CEP83,11,KIF24 CEP164 CEP97 CEP135 RAB11A TCTN1 RAB3IP CEP192 HAUS1 AHI1 CDK5RAP2 
COL19A1,11,CAV1 CRTAP SERPINH1 PTK2 PPIB ITGB2 LIMS2 P3H1 ITGA4 MICALL1 ITGA8 
CDH2,11,CTNNA3 SPAG9 SLIT1 BNIP2 RAC1 BOC FAM20A MET CABLES1 NTRK2 CDC42 
STK3,11,RASSF1 RASSF4 RASSF6 PPP2R2D PPP2R1B WWC1 ACTB SAV1 PPP2CA PPP2R2C RASSF2 
COL10A1,11,CAV1 CRTAP P3H1 P4HA3 ITGB1 PPIB SERPINH1 PXN PTK2B LIMS2 P4HB 
TRAPPC6B,11,RAB1A GORASP1 TRAPPC10 CD59 SEC24C GDI1 LMAN1 SEC24B EP300 TRAPPC11 TMED2 
ATG12,11,ATG10 NOD2 MAP1LC3B GABARAPL2 FOXO6 FOXO3 ATG7 ATG5 ATG16L2 VDAC1 MAP1LC3A 
PIGQ,11,MYNN DPM2 PIGA PIGH E2F4 BRF2 ZBTB11 KDM5B PIGC HMGN3 PIGP 
HLA-DPB1,11,STAT1 CSK AP1B1 KLC1 RFXANK DYNC1LI2 SEC24D AP1S2 HLA-DRA AP2B1 CD4 
PDX1,11,NR5A2 NKX6-1 DYM NBAS USP6NL MTUS2 RTN1 HHEX PRKACB MAFA MNX1 
COL11A2,11,KCNH2 CAV1 FN1 ADAMTS2 PARVB ITGAD PCOLCE PTK2 PXN ITGB3 LIMS1 
RFC2,11,BARD1 CLSPN RFC4 FANCE RAD1 BRIP1 POLI DNA2 POLR2J BRCA2 PRIM2 
MAP1LC3A,11,CHMP4C CHMP4A ATG4B MFN2 CHMP4B MTERF3 ATG3 MFN1 CHMP2B FUNDC1 ATG12 
CCL16,11,HIF1A CXCR6 CXCR4 CXCR3 CXCR2 CXCR1 CCR5 CCR4 CCR10 CXCR5 CCR8 
THOC2,11,SRSF5 UPF3B RAE1 SRSF4 NDC1 SEH1L CHTOP POM121 CPSF2 AAAS CDC40 
MAP2,11,MARK2 BRSK1 BRSK2 FOXP1 HES1 KLF3 LHX2 GTF2B TERF1 ZNF92 NME2 
ITGB5,11,EDIL3 ZNF318 COL2A1 COL18A1 COL17A1 COL5A2 LAMA1 LIMS2 ITGA7 COL4A5 TLN1 
ING5,11,KAT7 ZNF639 TP53 CXXC4 ZNF207 BRPF1 ZHX2 ARID2 KAT6A HMGN3 TGIF2 
FNBP1,10,RND2 HGS CBL STAM2 HIP1R GAK PICALM DNM2 AMPH STAT3 
HSPB1,10,MAPK14 FASLG BCL2 CYCS MBD3 EIF4G1 MAPKAPK2 HSPA8 UBC MAPKAPK5 
HTR2A,10,GNA11 ARRB2 GNAL GNG5 GRK4 GNG12 GNG7 CYSLTR1 GNG4 GNGT2 
HSPA5,10,ERN1 SOD1 SNCA EIF2AK3 BCL3 ATF6 CTCF GPR37 JUN E2F1 
SMPD1,10,RARA ASAH1 TFAP2A TRAF2 CDK4 TNFRSF10B LCK NSMAF FAS TRADD 
TRPC6,10,NFATC4 NFATC3 PRKG1 BMPR2 ADRA2A ADRA2B ADRA2C TRPC4 GNA15 PRKG2 
SMN1,10,RAE1 SNRPF SNRPD2 AAAS SEH1L SNUPN SNRPE DDX20 GEMIN6 NDC1 
SMG8,10,UBA52 SMG1 UPF1 RPL35 RPL36A RPS3A RPS10 RPS15A RPL10 RPL27 
WNT16,10,GPC3 NOTUM SFRP1 SFRP2 PORCN WIF1 GLI1 GNG4 FZD5 SFRP5 
TBC1D1,10,ZNF175 RAB2A ZNF207 SMAD1 PRKAB1 YWHAG RAB11B YWHAB PRKAG1 TBC1D4 
PYCARD,10,AKT2 HOXA9 NLRP7 NLRP6 NLRP12 AIM2 PYDC1 MEFV BCL3 AKT1 
COG5,10,COG2 COPZ2 COG1 VPS53 SYS1 RAB6A VAMP4 SPTBN5 COPA DYNC1LI2 
PLXNB2,10,EP300 SEMA4F RAC2 SEMA4A SEMA4B ZNF207 KDM5B RAC1 SEMA4G RAC3 
MRPL49,10,MRPL19 MRPL53 MRPL37 TUFM MRPS18C ERAL1 MRPL4 MRPS23 MRPL43 MRPL13 
RPP38,10,RPS7 RPS29 RPS9 RPP40 RPS4Y1 POP4 RIOK3 RPP21 RPS5 RPS8 
COL14A1,10,CRTAP LIMS2 PPIB ITGA7 ITGB1 MMP13 PTK2 P3H1 CAV1 SERPINH1 
FZD5,10,ROR1 GPC4 CSNK1D CSNK1G1 AP2A1 SAG CSNK1A1 CAV1 WNT16 SFRP5 
MRPL14,10,MRPL12 MRPL20 MRPL17 MRPS6 MRPL46 MRPL54 MRPL21 MRPL57 MRPL51 OXA1L 
FZD8,10,WNT7B GPC4 ATP6AP2 SFRP4 ROR1 PLCB1 GNB4 LRP5 GNA14 CSNK1G2 
MRPL11,10,MRPS27 MRPS36 MRPS33 MAPK3 MRPL13 MRPL4 MTRF1L MRPL45 MRPS22 GFM2 
TTC8,10,BBS9 CCT2 CCT5 CCT8 EP300 BBS2 BBS4 BBS5 RAB3IP BBIP1 
PLXNA2,10,SEMA6A RRAS ZNF263 SMAD1 FYN GSK3B RAC1 RAC3 RAC2 PAK1 
OXTR,10,EDN1 CACNA1C CACNB3 CACNG1 CACNB4 CACNA2D3 CACNA2D4 CACNA2D1 CACNA2D2 CYSLTR2 
BHLHE40,10,ZBTB7A TCF4 TCF12 SMARCB1 SIRT6 ARNTL CLOCK NOSTRIN ZNF175 STAT3 
LATS2,10,WWTR1 STK4 NPHP4 MOB1A LIMD1 WWC1 AJUBA AR WTIP MOB1B 
TUBA4A,10,CCT2 CEP135 HAUS3 CC2D2A GZMB OFD1 ALMS1 PFDN1 CEP290 B9D1 
SOX5,10,NME2 ZNF274 ARID3A GTF2B ADNP SOX2 ARID2 ARNT PCGF2 SETDB1 
VTI1A,10,YKT6 COG1 COG3 TMF1 STX7 STX8 RGP1 COG8 COG6 STX6 
COG4,10,COG1 DCTN5 GOLIM4 COPA VAMP4 GOLGA2 RAB6A SYS1 GCC1 VPS53 
COG2,10,VPS52 VPS51 CUX1 COG3 ANK2 VPS54 COG5 CAPZA2 DCTN4 SNAP29 
HLA-DQB2,10,SAR1B CSK LAG3 DCTN2 HLA-DMA CLTC PRKCQ TRBV7-9 KIF22 DYNC1LI2 
HNRNPA1,10,BCLAF1 SRSF9 LSM7 DHX16 POLR2J SNRNP40 CWC15 PCBP2 POLR2L NFIC 
FOSL2,10,HCFC1 HOXC10 ZNF263 HOXC6 E2F1 CIAO1 DEAF1 FOS JUNB SPHK1 
RPS6KA2,10,PPP1R3A PPP1R3B PPP1R3C PPP1R3D PPP1R3E MAPK7 BUB1 TBC1D7 PKMYT1 AP2S1 
RAB14,10,RAB4A RUFY1 GDI2 EXOC4 DENND6B CHML CHM MYO1C GDI1 EXOC1 
TSC2,10,AKT1 RPS6KA3 GSK3B RHEB RPTOR MAPK14 LAMTOR2 MAPKAPK2 TSC1 RPS6KA6 
BORA,10,UBC CCNB1 DYNC1H1 NEK2 MAPRE1 DCTN2 CEP164 CLASP1 CEP131 ALMS1 
BOP1,10,UTP3 WDR18 TBL3 NOL9 WDR12 IMP3 EBNA1BP2 RRP9 RBM28 DDX49 
CYB5A,10,EMD STX1A CEBPZ ZHX2 CYB5R3 VAMP2 BAG6 OTOF UBE2J2 CAMLG 
ICE2,10,GTF2A1 GTF2B INTS10 POLR2I SNAPC3 TBP POLR2J RPRD1A INTS12 ELL3 
MRPS26,10,PTCD3 MRPL48 MRPL54 MRPS35 MRPS18B MRPL10 MRPL36 MRPS33 MRPS10 MTIF3 
WNT11,10,NOTUM PORCN SAG GPC3 FZD1 FZD6 DKK2 GNG5 GLI2 SFRP4 
WNT10A,10,GPC3 PORCN ARR3 DVL3 SFRP1 SFRP2 WIF1 NOTUM GNG3 DVL2 
DOK2,10,SOCS3 LCK ZNF639 RAC1 GFRA3 KRAS PAK1 JAK1 CRK ARTN 
RAD23B,10,ATXN3 CETN2 AMFR GTF2H3 GTF2H5 SUMO2 DDB1 INO80E INO80C RBX1 
MRPS5,10,MRPL44 MRPL10 GFM1 GFM2 MRPL43 MTRF1L MRPL2 AURKAIP1 MRPS18A MRPL42 
LAMC1,10,FAM20A LAMA2 LAMA1 MMP14 ITGA10 ITGA4 COL18A1 CHRM1 LAMA3 NID1 
RPS20,10,RPL30 RPL6 RPP21 RIOK2 EIF3C RPL37A GSPT2 RPL35A EIF2S1 PPP2R2A 
ICE1,10,POLR2A GTF2E1 INTS8 SNAPC2 INTS9 PHAX CCNT2 CCNK ZNF143 SP1 
KLC4,10,FYCO1 TUBA1C NEFM NEFL NEFH APP CSNK2A3 CSNK2A1 PLEKHM2 TUBA1A 
NUP205,10,NUP50 DYNC1LI2 DHX38 PHAX U2AF1L4 SRSF7 NUP43 XPO1 SUMO3 CPSF3 
CCL11,10,P2RY2 TUB PTGER1 PRKAR1A PIK3C2G ACKR2 GNG2 CCR5 STAT6 CXCR1 
IMP3,10,RPS24 RRP36 C1D TBL3 NCL BOP1 RPS27L EXOSC5 FBL RRP9 
ACACA,10,MYNN PRKAG1 USF1 ZNF197 HBP1 PRKAG2 PRKAB1 CEBPA PRKAA1 HLCS 
CCDC88C,10,MAX GTF2B ZNF92 MBD3 KLF3 NCOA2 ZNF207 KDM5B TERF2 DVL3 
ACAD9,10,MT-ND2 NDUFS3 NDUFC2 NDUFB6 NDUFAB1 NDUFB4 NDUFAF7 NDUFV3 NDUFAF5 COA1 
EXOSC8,10,DCP2 PWP2 WDR61 EXOSC5 RPS7 XRN1 NOP56 RRP7A SKIV2L NOP58 
NEFH,10,MAPK11 MAPK13 KLC4 KLC2 KLC3 KIF5C KLC1 MAPK12 PRPH KIF5B 
ELF2,10,ZBTB11 SMAD5 HBP1 CXXC4 TGIF2 ZHX2 RUNX1 HMGN3 ELF1 HES1 
NDUFS2,10,NDUFAF6 ZNF197 ARID2 NUBPL NDUFS6 NDUFC1 NDUFB10 NDUFAF3 NDUFAF5 NDUFB11 
SEMA3A,10,FARP2 PAK2 CDK5 CRMP1 DPYSL5 PLXNA1 RND1 DPYSL2 FES PAK1 
PSMA7,10,GPR37 HIF3A KLHL12 LIMD1 CUL1 CD40 RUNX3 ATXN3 SNCAIP PSMD14 
EIF4E2,10,CYFIP1 EIF4G3 CYFIP2 EIF4A1 EIF4E3 MKNK1 HERC5 EIF4G1 ISG15 UBE2L6 
NDUFB10,10,NDUFAF3 PRKACA NDUFA11 MT-ND6 NDUFA13 NDUFA10 PRKACB NDUFA7 NDUFAF5 NDUFS2 
SEC24D,10,PPP6R1 SEC22B SEC13 ANKRD28 HLA-DPB1 SEC24B BET1 TRAPPC2B CTSZ SEC24A 
CDK7,10,RPA2 POU2F1 TAF9 TAF7 TAF13 SUPT4H1 CCNK USP7 SP1 NCBP1 
EIF3F,10,EIF4E EIF3G RPS29 RPS5 EIF1AY EIF3D RPS19 EIF3C RPS18 EIF3J 
SEC22B,10,SEC24D TRAPPC9 TRAPPC3 TRAPPC4 NBAS STX5 TAP2 COPZ1 TRAPPC2L TMED10 
TGFBR1,10,EIF2A FKBP1A TGFBR3 BAMBI APLN SMAD7 SNAI1 BMP8B GDF6 RPS27A 
TNFRSF12A,10,BIRC2 BIRC3 PSMA5 SMARCB1 PSMB3 PSMC2 PSMD13 PSMD4 PSMC6 PSMD5 
ETV4,10,SURF2 USF2 HPGD APOH CETP ETS1 HMGN3 MMP7 JUNB NCOA3 
NUP133,10,CENPN CENPP CENPI SKA1 CENPK KIF2C PLK1 PPP1CC SNRPG GEMIN5 
CCNC,10,MED24 MED22 TNF TBL1XR1 MED26 MED20 MED4 CEBPB EP300 MED7 
CD38,10,CCKAR SPI1 RYR3 RYR2 RYR1 PRKCB PRKCA TPCN1 TPCN2 PRKG2 
CD36,10,THBS4 CD14 IRAK3 COMP CHUK PPARA THBS2 THBS3 SPI1 PRKAA2 
EPHB1,10,EFNA1 SDCBP SRC RGS3 EPHA6 LYN NCSTN EPHB6 MAP4K4 NGEF 
NLGN1,10,HOMER2 DLGAP2 CASK NCOA3 DLGAP3 ARNT NME2 PCGF2 SOX2 DLGAP4 
IQGAP1,10,ACTB PAFAH1B1 BRAF AKAP5 EXOC7 DIAPH1 RAC1 MAP2K1 RAC3 PRKAR2A 
IRF4,10,HSH2D NKG7 LCP1 PARP14 YAP1 TRIM37 TNFRSF17 RELA DEAF1 CD79A 
ZSWIM8,10,PSMC5 ZBTB11 PSMB3 PSMD10 PSMB5 PSMC1 PSMB7 UBC PSMB1 PSMB4 
EPHA10,10,EFNB2 EPHA4 EPHA1 ZNF197 EFNA4 EPHA7 EPHA8 EPHA3 EFNB1 EPHB4 
EPHA1,10,EFNB2 FGR EPHA4 0 EPHA7 EFNA4 EPHA8 EPHA3 EFNB1 LCK 
IRF5,10,TP53 BCL11A CCL5 ZNF207 IL12B CCL4 CCL4L1 CCL3 TRAF6 SMAD5 
ZRSR2,10,SNRNP25 PRPF8 SNRNP48 POLR2A SRSF1 SRSF6 DDX23 DDX42 POLR2D SNRPF 
CCT4,10,BBS2 TUBB2B CCT3 GLYR1 TUBB1 TUBB4B GNB1 CCT5 BBS1 GNB4 
ITGA3,10,PLAU TGFBI COL4A3 COL8A1 COL9A2 PARVA COL3A1 BSG PTK2B COL6A1 
ITGA6,10,PMP22 SRC BSG CD9 COL4A4 ACTN4 ACTN2 YWHAE FLNA COL9A1 
SF3A1,10,SF3B2 SNRNP70 SNRPA1 RBM22 CWC15 CRNKL1 SRSF2 SNRPD3 CSTF3 DHX38 
SGIP1,10,CLTA WASL TGFA UBA52 SYNJ1 SNX9 SLC18A3 SH3GL2 SH3KBP1 LRP2 
SH3GL2,10,SGIP1 IGF2R HIP1 FCHO2 ROCK1 EREG SYT2 VAMP4 ACTR3 FGFR3 
SEC11C,10,RPL23A SPCS3 RPL14 RPL6 RPL22 DDOST RPS7 RPS29 RPL31 RPS6 
TGFBI,10,ITGB1 ITGAM ITGAV ITGA3 NR1H2 HHEX ZNF92 ZC3H8 TEAD4 SMAD1 
KAT7,10,ING5 ZNF197 CEBPZ CREB1 AR MEAF6 APP YY1 APBB3 ING4 
SKP1,10,CCDC22 TBL1XR1 TRIP12 ZC3HC1 UBB ZNRF2 SKP2 FBXL14 BACH1 FBXL22 
IGLV1-40,10,IGKV3-20 IGKV5-2 SHC1 ARPC1B IGHG3 ACTR2 BLNK IGHG4 GRB2 IGHV1-46 
IGHV4-34,10,IGHV2-70 ELMO1 CD247 FCAMR IGHV7-81 LAT2 MYH2 FCGR2A IGKV4-1 C1QA 
FGF18,10,KLB FGF1 PDGFRA NTRK3 TRAF6 FGF2 MST1R FGFR4 CBL NRAS 
KIF5A,10,NRAS RHOG RHOA CSNK2A1 GSK3A NEFM FYCO1 PLEKHM2 TUBB2A KDELR1 
TEAD4,10,YAP1 AXIN2 SOX2 TEAD2 BIRC2 BIRC3 TGFBI MYC IQSEC1 DENND1A 
IFT88,10,DYNLRB1 DYNLRB2 DYNC2H1 IFT22 UBB CHMP6 HSP90AB1 CHMP3 CLUAP1 CHMP2A 
CABIN1,10,PRKCQ PRKCH PRKCE HIRA EP400 PRKCB CALM3 CAMK4 TP53 HMGA2 
IFT46,10,IFT80 TRAF3IP1 DYNLRB2 IFT172 HSPB11 IFT43 TTC30B WDR19 TTC26 IFT140 
CHRM5,10,GNB1 KCNJ3 PRKCZ PKN2 PKN3 PRKCD PRKCH PRKCI PRKCQ CLTA 
TCF7L2,10,CDX2 ARID1A CTNND2 SMAD4 BIRC2 RUNX3 LEO1 SMARCA1 CTNNB1 EP300 
MYH7,10,NFATC4 ACTC1 ACTR1A THRB NFATC3 ACTA2 ACTG2 ACTG1 MYBPC3 ACTA1 
POLR1D,10,POLR1C KAT2B BAZ1B DEK NFIX POLR3K ACTB UBTF ERCC6 TBP 
FJX1,10,SIX5 ZNF639 ZNF318 CEBPZ CXXC4 ZHX1 TGIF2 CTCF MBD3 ZC3H8 
SMARCA5,10,KAT2A OIP5 POLR1C POLR2H SUDS3 CENPI LEF1 RBBP4 RBBP7 BAZ1B 
POLK,10,UBA7 POLR2D POLR2A TP53 UBC RFC3 PCNA LIG1 PRPF19 ERCC1 
FLG,10,PRSS8 PCSK6 CAPN1 CASP14 DSC2 DSC3 DSP DSG4 FURIN KLK5 
FLI1,10,UPP1 TNNI3 ITGA2B GP6 ANPEP BARD1 MPL GATA2 POLR2G CCND3 
ZFX,10,UBE2D3 SEC22C RNF4 POGK MDM4 DERL2 MCM7 KLF3 HHEX PCGF5 
FCF1,10,NIP7 DCAF13 DDX52 RPS5 NOL12 EXOSC2 RPS27 UTP3 UTP15 MPHOSPH10 
NR3C2,10,HSP90AB1 SCNN1B PBX3 CAPZA1 ATP1B4 ATP1B2 SCNN1A DCTN6 PIAS1 DYNC1I2 
PPP1R3E,10,GYS1 RPS6KA6 RPS6KA1 RPS6KA2 CALML5 CALML3 PHKB RPS6KA3 CALM3 AKT3 
IL11,10,IL6R IL10RB PDGFRB JAK1 IL3RA IFNLR1 PDGFRA IL12RB1 IL10RA MPL 
IL10RB,10,IL11 IL17D STAT3 CTSS CTF1 PDGFB IL22RA1 IFNG TYK2 IL10RA 
SCFD1,10,SEC24C FOLR1 STX5 MCFD2 SEC23A NAPA CTSC F5 SERPINA1 F8 
NDE1,10,MZT2A SMC1A NDEL1 PLK4 ERCC6L CDC42 DSN1 CEP290 RAB11A STAG1 
EGLN3,10,PSMA6 PRKCA NME2 CUL2 PSME3 UBE2D3 PSMB1 PSMD8 PSMC2 PSMB3 
CENPM,10,CENPK MIS18BP1 DYNC1I2 NUP98 DYNC1LI2 MAD2L1 SEC13 CENPQ CENPW CDCA5 
ACVR1B,10,ACVR2A GDF11 NLK LEFTY1 TGFB3 LEFTY2 BMPR2 INHBB BAMBI BMP3 
ZNF143,10,PBX3 POLR2F TFCP2L1 SNAPC4 SIN3A SNAPC1 TAF6 RPRD1A SP2 ICE1 
FCER1G,10,FCGR3B IGHV3-48 WIPF1 SHC1 IGHV3-7 IGKC IGKV2-29 MS4A2 NCR3 IGHV3-13 
PPP1R3B,10,RPS6KA2 RPS6KA3 RPS6KA6 CALM3 CALML5 GYS1 RPS6KA1 PHKA2 PHKA1 CALML6 
CASP2,10,EIF3A MADD LMNB2 LMNB1 LMNA TNF RIPK1 EIF4E DAXX CASP3 
NR1H3,10,UBE2I MYLIP HELZ2 PSME3 KDM1B MED1 VLDLR CCND1 CDK4 RXRG 
NBL1,10,GDF6 GDF5 BMP2 BMP6 BMP8B BMP4 AMH BMP7 BMP5 BMP8A 
NR1I2,10,UBE2I SUMO3 NOD2 CYP4F12 MED1 ARAP1 ALG1L CRCP SMS CCM2L 
NR2C2,10,PRAME IRF8 ABL1 E2F1 NUP107 ZNF595 ZNF718 NCOR1 SERPINF2 IL4I1 
NR2F1,10,AHDC1 ZZZ3 CTBP2 IQSEC1 MED1 HDAC7 JUN CTIF GRAMD4 EHMT1 
DLG4,10,CDK5 HAP1 GRIK1 RHOJ RHOG NCALD GRIN2D DLGAP1 GRIN1 KALRN 
DPF3,10,BRD7 ZNF644 ZNF589 KDM3A ZC3H8 TERF1 ZNF207 ACTG1 SMARCD3 ARID1B 
CSNK2A2,10,PTEN STARD10 L1CAM KLC1 NCAPH NFIC PRNP NCAPG CSNK2B ARRB1 
SPHK2,10,TRAF2 IL12RB1 SMAD3 HRAS PRKAA2 PRKAG2 MAPK3 MYC MAPK1 KRAS 
SUPT7L,10,ATXN7L3 SAP130 TADA1 TADA2B TAF10 MYC MAX ATXN7 TRRAP TAF6L 
CTSK,10,BIRC5 SERPINB13 MMP7 COL18A1 NFATC1 BID JUN BIRC2 BIRC3 BCL2L1 
MAGOH,10,RPL24 RPL3 CPSF4 YBX1 RBM5 EIF4A3 RBM22 RPL15 CPSF3 RPL26 
COX6B1,10,COX6A1 SCO1 COX5A COX20 SOD1 NDUFA4 COX7A2L SURF1 COX6C SCO2 
PCK2,10,NR3C1 MDH1 NFIC MYC CREB3L4 PRKAG2 PRKAB1 RXRG PRKAG1 PPARGC1A 
SUPT6H,10,MLLT1 MNAT1 POLR2A EAF1 NELFCD NELFB SUPT4H1 NELFE POLR2D CDK9 
RHOD,10,WHAMM ARHGAP32 PAK6 HINT2 ANKFY1 ARHGAP1 DIAPH2 RND1 FILIP1 DIAPH1 
UBE2L3,10,PARK2 ZNF197 ELF1 JUN MYC TP53 UBC RNF144A IRF1 SUMO1 
GGA3,10,RABEP1 BACE1 CLTB COPA RABGEF1 CRKL RAB5C GAB1 ASAP1 CRK 
GRIN2C,10,CACNA1G GRIK3 GRIK2 RAC3 GRIN1 CDC42 KALRN RHOQ CALML6 GRIN2A 
U2AF2,10,SART1 WDR33 DHX16 POLR2I RBMX POLR2K SRSF11 POLR2G NXT1 SNRPB2 
GTF3C4,10,POLR3E BRF1 NR3C1 GTF3C5 GTF3A BDP1 CRCP GTF3C2 POLR3GL POLR1C 
SPHK1,10,TFAP2A TRAF2 PRKAG2 MAPK3 TCP1 IGHE HRAS PRKAG3 FOSL2 EP300 
RHOJ,10,GATA2 PAK3 ACTA1 ARHGAP35 DOCK8 DLG4 ACTR2 ARHGAP26 ARHGAP1 GRIK2 
MCM5,10,ATRIP CDC6 MCM2 SATB1 GINS2 SMAD5 ORC6 RPA2 POLE ORC3 
ARPC2,10,IGKV3D-20 IGLV2-23 BTC WASF2 ADRB2 WHAMM REPS1 SYNJ1 ACTR3 IGKC 
VPS37D,10,MVB12B VPS36 CHMP4A CHMP6 ARL13B UBC CHMP4C STAM2 CHMP2B HSPA8 
PARP1,10,ETS1 AIFM1 HES6 PARG CASP3 ILK POLQ UBB ERCC3 POLB 
LMO2,10,PCGF2 ZNF589 MYB ZNF584 ADNP GATA1 JUN RUNX1 TCF3 MNAT1 
VPS37B,10,CHMP4C HSPA8 RNASE1 ARL13B CHMP2B VPS36 CHMP4B CHMP6 HGS MVB12B 
ATP1A2,10,SLC8A1 FXYD7 FXYD3 FXYD1 ATP1A4 PRKACA ATP1B3 ATP1A3 PIK3R2 PRKG1 
HAUS8,10,CEP89 CEP97 HAUS4 CLASP1 DYNC1H1 CEP164 MAPRE1 YWHAG TCTN2 TUBGCP4 
MED25,10,FABP4 MED27 MED8 MED24 MED13L NCOR2 SMARCD3 MED18 PPARGC1A MED16 
UBE2V1,10,TAB3 TAB1 TRAF5 TLR7 MYC ARL13B PELI2 PRKCQ UBC PARK7 
PCDHGA1,10,CDH19 CDH22 CDHR1 CTNNA3 CELSR3 PCDHGB3 DCHS1 CELSR1 PCDH8 CDHR2 
VPS36,10,CHMP2B CHMP4A VPS37D VPS37B MVB12B CHMP4C CHMP4B UBC VPS37A CHMP6 
B4GALT1,10,ACAN SRF PRELP OMD OGN LUM KERA HIF1A FMOD ADAM2 
GRIA1,10,RAB1A LYN DLG3 SEC24A TRAPPC3 CAMK2D GRIA4 AP2A1 KIF5B CNIH2 
RPL32,10,RPS3A SMG7 SSR1 UPF1 SPCS1 RPS27L SRP19 RPL35A RPL23 EIF4A3 
PEX19,10,FIS1 PEX12 PEX2 SLC25A17 ABCD1 PEX3 ACBD5 ATAD1 PXMP4 PEX11B 
DGKK,10,PLCB3 CDS2 PLCE1 PLCD3 PLCD1 PLCB4 PLCG2 CDS1 PLCD4 PLCG1 
CTSD,10,BIRC5 COL18A1 USF1 TRADD HLA-DRB5 XIAP BIRC2 MADD BIRC3 NCOA3 
SRSF2,10,BCAS2 SF3B4 SMNDC1 SRRM2 PRCC SF3A1 WBP4 UPF3B LSM6 NUP35 
GNB2,10,GCG FZD9 GNA14 GNA11 CCT5 CCT3 PIK3CD PRKAG3 WNT4 ADCY1 
BACE2,10,PCSK4 PCSK2 PCSK5 PCSK6 RTN3 RTN4 FURIN PCSK1 PCSK7 APBB1 
COX20,10,COX5A ZNF639 COX6A1 COX6B1 CBX2 COX6C COX5B SMAD5 COX7A2L SCO1 
STXBP1,10,VAMP1 APBA3 SLC17A7 SNAP25 SLC18A2 CASK RIMS1 LIN7B PPFIA2 STX3 
GCK,10,MAP3K8 MAP3K2 MAP3K1 STAT1 SREBF1 PKM PAX6 NUP43 NUP210 MAP3K3 
LRP5L,10,GNA15 WNT8B WNT10B APBB3 FZD3 MMP14 MMP15 APBB1 APBB2 CSNK1E 
LRBA,10,ZNF175 ZNF589 ZNF318 ZNF584 ARID3A TERF1 GTF2B NME2 SOX2 ZNF644 
LRRFIP1P1,10,MYNN ZNF318 HIF1A CEBPA CXXC4 STAT1 CTCF ZBTB11 ZHX1 ZC3H8 
